	Overall	Adherence to Prompt	Clarity of Thesis	Strength of Argument	Development	Organization	Coherence	Cohesion	Sentence Structure	Vocabulary	Technical Quality
TRME3026	[3.5, 3.5]	[4.0, 4.0]	[3.5, 4.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 2.5]	[2.5, 2.0]	[3.0, 3.5]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]
RUMO7036	[3.5, 3.0]	[4.0, 3.0]	[3.5, 2.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]
NOAC1017	[3.0, 3.0]	[3.5, 4.0]	[3.0, 2.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.5, 3.0]	[2.5, 2.5]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.5]
FIJY1031	[3.5, 3.5]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 2.5]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]
SWUL2009	[2.5, 2.0]	[2.5, 2.0]	[3.0, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[2.0, 2.0]	[2.5, 2.5]	[3.0, 3.5]	[3.5, 4.0]
TSNO1493	[2.5, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]
BGSU1037	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]
TRCU1128	[2.5, 3.0]	[4.0, 4.0]	[3.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[2.0, 1.5]	[3.0, 3.0]	[2.5, 3.5]	[2.5, 3.0]	[2.5, 2.5]
ITRS1012	[3.0, 3.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[2.5, 3.0]	[2.5, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.0]	[3.5, 3.5]
FIAB1011	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.5]	[3.5, 3.0]	[3.5, 3.0]
SWUL1003	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.0]	[3.0, 3.5]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]
BGSU1125	[3.0, 3.0]	[2.5, 2.5]	[3.0, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 2.5]
BGSU1085	[3.5, 3.5]	[2.5, 2.0]	[3.0, 2.0]	[3.0, 2.5]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.5, 3.0]	[3.5, 3.5]
BGSU1237	[3.0, 2.5]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[2.5, 2.5]	[3.5, 3.5]	[3.5, 3.5]
NOHO1042	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 2.5]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]
BGSU1110	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[4.0, 4.0]	[3.5, 3.5]
NOHO1003	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.5]	[2.5, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.5]	[3.5, 4.0]	[3.5, 3.0]
SPM05011	[3.0, 2.5]	[3.5, 3.5]	[3.5, 4.0]	[2.5, 2.0]	[3.0, 2.0]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 2.0]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 3.0]
TRME3024	[2.5, 2.5]	[3.0, 2.0]	[4.0, 4.0]	[2.0, 2.0]	[2.5, 3.0]	[2.5, 2.5]	[3.0, 4.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 2.0]
CNUK1118	[3.5, 3.0]	[4.0, 3.0]	[4.0, 3.0]	[3.5, 3.0]	[3.5, 2.5]	[3.5, 3.0]	[4.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
FIHE2002	[3.5, 3.5]	[3.5, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 2.5]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]
FRUB1021	[3.0, 3.0]	[4.0, 4.0]	[3.5, 3.5]	[3.0, 3.5]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.5]
CZPR2014	[2.5, 1.0]	[3.0, 1.0]	[3.0, 1.5]	[3.0, 1.0]	[3.0, 1.5]	[1.0, 1.0]	[3.0, 1.0]	[2.5, 2.0]	[2.0, 2.0]	[3.0, 2.0]	[2.5, 1.5]
TRCU1055	[2.5, 2.5]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 3.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 1.5]
SPM02011	[2.5, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
TRCU1046	[3.0, 3.0]	[4.0, 4.0]	[3.5, 4.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.5]
TSNO1161	[2.5, 3.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.0]	[2.0, 2.0]
SWUL4016	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 2.5]	[2.5, 3.0]	[2.5, 3.0]	[3.0, 3.0]	[2.5, 2.5]
CNUK1147	[2.0, 2.0]	[4.0, 4.0]	[4.0, 4.0]	[2.5, 1.5]	[2.0, 2.0]	[3.0, 3.5]	[2.0, 2.0]	[2.5, 3.0]	[1.5, 1.5]	[2.5, 3.0]	[2.0, 1.5]
BGSU1208	[3.0, 3.5]	[3.0, 3.0]	[3.5, 4.0]	[2.5, 2.5]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[4.0, 4.0]	[2.5, 2.0]
NOUO1072	[3.0, 3.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]
RUMO5013	[3.0, 3.0]	[3.0, 2.5]	[4.0, 4.0]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]
BGSU1157	[2.5, 2.5]	[2.5, 2.5]	[3.5, 4.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]
RUMO4009	[2.5, 3.0]	[3.0, 3.5]	[2.5, 2.0]	[2.0, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]
ITRS2031	[3.0, 3.5]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 3.0]	[3.5, 3.5]	[4.0, 4.0]	[3.0, 3.0]
POPZ1008	[2.5, 2.0]	[3.0, 3.5]	[2.0, 2.0]	[2.0, 2.0]	[3.0, 3.0]	[2.0, 1.5]	[3.0, 2.5]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]
CNUK1033	[2.5, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.0]
BGSU1089	[3.5, 3.5]	[4.0, 3.5]	[4.0, 3.0]	[3.5, 3.0]	[3.5, 3.5]	[3.5, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[4.0, 3.0]	[4.0, 2.5]
FRUC3009	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[3.5, 3.0]	[3.5, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[3.5, 3.0]	[4.0, 4.0]	[4.0, 4.0]
DBAN1016	[2.5, 2.5]	[3.0, 3.5]	[2.0, 2.0]	[3.0, 3.0]	[2.5, 2.0]	[2.0, 1.5]	[3.0, 2.5]	[3.0, 3.0]	[3.5, 3.5]	[2.5, 2.5]	[3.0, 3.0]
RUMO4019	[3.0, 3.5]	[4.0, 4.0]	[3.0, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
ITRS2015	[3.0, 3.0]	[3.5, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]
BGSU1039	[3.0, 2.0]	[3.0, 2.0]	[3.0, 2.5]	[2.5, 2.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 2.0]	[3.0, 2.5]	[3.0, 2.5]
FIAB1005	[3.5, 3.5]	[4.0, 4.0]	[3.5, 4.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.5]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 2.0]	[3.0, 2.5]	[3.5, 4.0]
SPM03015	[2.5, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]
CNUK1052	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.5]	[2.5, 2.0]	[3.0, 2.5]	[3.0, 3.5]	[2.5, 2.0]
DBAN3059	[3.0, 3.0]	[2.0, 2.5]	[2.5, 1.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.5]	[3.0, 2.0]	[3.0, 2.5]	[3.5, 4.0]	[3.5, 4.0]
BGSU1011	[3.5, 3.5]	[3.0, 2.5]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[4.0, 4.0]	[3.5, 3.0]
BGSU1001	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.5, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]
SWUL3013	[3.0, 3.5]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.0]
TSNO1009	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]
RUMO2013	[3.0, 3.5]	[3.5, 4.0]	[3.5, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 4.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.0]	[2.5, 2.5]
CZUN1005	[1.5, 1.5]	[2.0, 3.0]	[2.0, 3.0]	[1.5, 1.0]	[2.0, 2.0]	[2.0, 2.0]	[1.5, 1.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.0]	[2.0, 2.0]
BGSU1059	[3.5, 3.5]	[4.0, 3.0]	[4.0, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 2.5]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[4.0, 3.5]	[3.5, 3.0]
ITTO5002	[3.5, 3.5]	[4.0, 4.0]	[3.0, 2.0]	[3.5, 3.5]	[3.5, 3.5]	[2.5, 2.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]
BGSU1058	[3.0, 3.0]	[2.5, 2.5]	[3.5, 4.0]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]
FIAB3005	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]
ITRS2002	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]
BGSU1216	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.5]	[3.5, 4.0]	[3.0, 3.5]
TRME3006	[2.5, 2.5]	[3.0, 3.5]	[2.5, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.0]	[3.0, 3.5]	[2.0, 2.0]
FRUC3087	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[2.5, 3.0]	[2.5, 3.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]
TSNO1507	[2.5, 2.0]	[3.0, 1.5]	[4.0, 2.0]	[2.5, 2.0]	[2.5, 2.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.0]	[3.5, 2.5]	[3.0, 2.0]	[2.5, 2.5]
ITRS1015	[3.5, 3.5]	[3.0, 2.5]	[3.5, 3.5]	[3.0, 4.0]	[3.5, 3.5]	[3.0, 3.0]	[2.5, 2.0]	[2.5, 2.5]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.0]
BGSU1263	[3.0, 3.5]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 3.5]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.5]	[3.5, 3.5]	[3.0, 2.5]	[3.0, 3.0]
DBAN1021	[3.5, 3.5]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 4.0]	[3.5, 3.5]
TSNO1445	[2.5, 3.0]	[3.0, 4.0]	[4.0, 4.0]	[2.0, 1.0]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[2.5, 3.0]	[3.0, 3.0]	[2.5, 2.0]	[2.5, 2.5]
TRCU1051	[2.5, 2.5]	[4.0, 4.0]	[4.0, 4.0]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 2.5]	[2.0, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]
SPM04043	[3.0, 2.5]	[4.0, 4.0]	[4.0, 4.0]	[2.5, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.0]
NOHB1001	[3.0, 3.0]	[4.0, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.5]
DBAN2051	[3.0, 3.0]	[3.5, 3.5]	[3.5, 4.0]	[2.5, 2.0]	[3.0, 3.0]	[2.0, 2.0]	[3.0, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.0]	[3.0, 3.5]
RUMO4017	[2.5, 3.0]	[4.0, 4.0]	[3.5, 4.0]	[2.5, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.0]
NOHO1027	[2.0, 1.5]	[3.0, 2.0]	[3.5, 4.0]	[2.5, 2.0]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[2.5, 1.5]	[2.5, 2.0]	[3.0, 3.0]	[2.0, 1.5]
SWUL4032	[3.5, 3.5]	[4.0, 3.0]	[4.0, 3.0]	[3.5, 2.5]	[3.5, 3.0]	[3.5, 3.0]	[4.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
CNUK4009	[3.0, 3.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 3.5]	[3.0, 3.5]
TRME3008	[2.5, 2.5]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 2.0]	[2.5, 2.0]	[2.5, 3.0]	[2.5, 2.5]	[2.0, 2.0]
CNUK4024	[3.0, 2.5]	[3.5, 3.5]	[3.5, 4.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]
DBAN2033	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[2.5, 3.0]	[3.0, 2.5]	[3.5, 3.0]	[3.5, 3.0]
SWUL4001	[2.5, 2.5]	[3.5, 4.0]	[3.0, 2.0]	[2.5, 2.5]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 2.5]	[3.0, 2.5]
CNUK1102	[2.5, 2.5]	[4.0, 4.0]	[3.0, 3.0]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.5, 3.5]	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.0]
CZPR3048	[3.0, 3.0]	[3.5, 4.0]	[3.5, 4.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.5]	[3.0, 3.0]	[2.0, 2.0]	[3.0, 3.0]	[3.5, 4.0]	[3.0, 3.0]
TRCU1107	[2.5, 3.0]	[3.5, 4.0]	[4.0, 4.0]	[2.5, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.0]	[2.0, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 2.0]
DBAN2034	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]
BGSU1122	[2.5, 2.5]	[3.5, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[3.0, 3.5]	[2.0, 2.0]	[3.5, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]
BGSU1243	[3.5, 3.0]	[3.5, 2.5]	[4.0, 2.5]	[3.0, 2.0]	[3.5, 2.0]	[3.5, 2.0]	[3.5, 2.5]	[3.0, 3.0]	[3.5, 2.5]	[3.0, 3.0]	[3.5, 2.5]
TRME3030	[2.5, 2.5]	[4.0, 4.0]	[4.0, 4.0]	[2.0, 2.0]	[2.0, 1.5]	[2.0, 2.0]	[2.5, 3.0]	[2.5, 2.0]	[2.0, 1.5]	[2.0, 1.5]	[2.5, 2.0]
SPM04021	[3.0, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.0]	[2.0, 2.0]	[3.0, 3.0]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]
BGSU1211	[1.5, 1.5]	[2.0, 2.0]	[2.0, 2.0]	[2.5, 3.5]	[2.0, 1.5]	[1.0, 1.0]	[2.0, 2.0]	[2.5, 3.0]	[2.5, 2.5]	[3.0, 2.0]	[3.5, 3.5]
ITTO6005	[3.5, 3.5]	[3.5, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 4.0]
POPZ1010	[3.5, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.0]	[2.5, 2.0]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[4.0, 4.0]
TSNO1515	[2.5, 2.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 2.0]	[2.5, 2.0]	[3.0, 3.5]	[3.0, 2.5]	[2.5, 2.5]	[3.0, 2.5]	[2.5, 2.0]	[2.5, 2.5]
FRUL2002	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.5]
FRUC3091	[2.5, 3.0]	[2.5, 3.5]	[2.5, 2.0]	[2.5, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[3.5, 3.5]	[2.5, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 2.5]
BGSU1030	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.5, 3.5]	[4.0, 4.0]	[3.0, 3.0]
CNUK1004	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]
TSNO1426	[3.0, 3.0]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 3.0]	[2.5, 2.5]
CNUK1028	[3.5, 3.0]	[4.0, 4.0]	[3.0, 3.0]	[2.5, 2.0]	[3.5, 3.0]	[3.5, 3.5]	[4.0, 4.0]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 4.0]
CZKR1003	[2.5, 2.5]	[3.5, 3.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.0, 2.0]	[3.0, 3.0]	[2.0, 2.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]
RUMO2005	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.5]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.0, 3.0]
NOHO1044	[2.5, 2.5]	[3.5, 3.5]	[3.5, 3.5]	[2.5, 2.5]	[3.0, 3.0]	[2.0, 2.5]	[3.0, 3.0]	[2.5, 2.5]	[3.5, 3.5]	[3.0, 3.0]	[3.5, 3.5]
ITRS2020	[3.5, 4.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.5]	[3.5, 3.5]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 3.0]
BGSU1145	[2.5, 2.5]	[2.5, 2.0]	[2.5, 2.5]	[2.5, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.5]
RUMO5004	[3.5, 2.5]	[3.5, 1.0]	[4.0, 2.0]	[3.5, 1.5]	[3.0, 1.5]	[3.0, 2.0]	[4.0, 2.0]	[3.0, 1.0]	[3.0, 2.0]	[3.0, 2.0]	[3.5, 2.0]
ITRS2012	[3.0, 3.0]	[4.0, 4.0]	[3.5, 4.0]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.5, 3.0]	[3.5, 4.0]	[3.0, 3.0]	[3.5, 3.0]
FIAB1053	[3.0, 3.5]	[4.0, 4.0]	[4.0, 4.0]	[3.0, 3.5]	[3.5, 3.5]	[3.0, 3.5]	[4.0, 4.0]	[3.0, 3.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.5]
ITVE3002	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[3.5, 3.0]	[3.0, 3.0]	[3.5, 3.0]
TSNO1457	[2.5, 2.5]	[4.0, 4.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[3.0, 3.0]	[3.0, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 2.5]
BGSU1051	[2.5, 3.0]	[2.5, 2.5]	[2.5, 2.5]	[2.5, 3.0]	[2.5, 3.0]	[3.0, 3.0]	[3.0, 3.0]	[2.0, 2.0]	[2.5, 2.0]	[3.0, 3.0]	[2.5, 2.5]
RUMO9007	[3.0, 3.5]	[3.5, 3.5]	[3.0, 2.0]	[2.5, 2.5]	[3.0, 3.0]	[2.5, 2.0]	[3.0, 3.0]	[2.5, 2.0]	[3.0, 3.0]	[3.0, 2.5]	[3.0, 3.0]
